province,city,position,district,candidate_name,party,votes,rank
BENGUET,KABAYAN,MAYOR,,"AQUISAN, REX ALWIN",LAKAS,5944,292678
BENGUET,KAPANGAN,MAYOR,,"DIZON, HARRIS",PFP,6792,291313
BENGUET,KIBUNGAN,MAYOR,,"TOKING, LAURENCE",LAKAS,8297,289966
BENGUET,LA TRINIDAD,MAYOR,,"AWINGAN, RODERICK",LAKAS,31178,292130
BENGUET,MANKAYAN,MAYOR,,"PASIWEN, CESAR",IND,11006,292949
BENGUET,SABLAN,MAYOR,,"BALDO, ARTHUR",LAKAS,5394,290504
BENGUET,TUBA,MAYOR,,"CARANTES, MARIA",LAKAS,14731,292411
BENGUET,TUBLAY,MAYOR,,"DAGUIOA, CRUSO JR",PFP,5424,290234
BILIRAN,ALMERIA,MAYOR,,"JAGUROS, RICKRICK",LAKAS,6459,178356
BILIRAN,BILIRAN,MAYOR,,"CASIL, GRACE",LAKAS,9345,178852
BILIRAN,CABUCGAYAN,MAYOR,,"ADOBO, GEMMA",NP,8265,178604
BILIRAN,CAIBIRAN,MAYOR,,"DELANTE, RHODESSA",LAKAS,10228,177131
BILIRAN,CULABA,MAYOR,,"UYVICO, LESLIE",NP,6362,177626
BILIRAN,KAWAYAN,MAYOR,,"ESPINA, RUDY",LAKAS,10099,178110
BILIRAN,MARIPIPI,MAYOR,,"CAINGCOY, JOSEPH",NP,3723,177867
BILIRAN,NAVAL,MAYOR,,"PARILLA, ARCHIE",NP,22465,177380
BOHOL,ALBURQUERQUE,MAYOR,,"BUATES, DON DON",NUP,4829,31963
BOHOL,ALICIA,MAYOR,,"CARIAS, WEWE",LAKAS,6188,31693
BOHOL,ANDA,MAYOR,,"SIMACIO, INDAY",LAKAS,7294,28078
BOHOL,ANTEQUERA,MAYOR,,"REBOSURA-SALOMON, CECELIA",NP,6187,28602
BOHOL,BACLAYON,MAYOR,,"UY, A. ALVIN",PFP,7885,32226
BOHOL,BALILIHAN,MAYOR,,"CHATTO, TRISHA",NUP,8930,29124
BOHOL,BATUAN,MAYOR,,"TUMANDA, MAWELL",PFP,5750,32735
BOHOL,BILAR,MAYOR,,"PALACIO, TATA",LAKAS,10391,30663
BOHOL,BUENAVISTA,MAYOR,,"DUALLO, DABU",LAKAS,15651,32478
BOHOL,CALAPE,MAYOR,,"YU, JUNIE",NUP,11688,28337
BOHOL,CANDIJAY,MAYOR,,"OLAIVAR, THAMAR",LDP,15619,29382
BOHOL,CARMEN,MAYOR,,"DELOS REYES, CHE",LAKAS,21705,30916
BOHOL,CATIGBIAN,MAYOR,,"OLIVA, BENJIE",PFP,8471,31176
BOHOL,CLARIN,MAYOR,,"CAMACHO, FRENZ",LAKAS,10002,30157
BOHOL,CORELLA,MAYOR,,"LIM, MANJU",PFP,4511,29904
BOHOL,CORTES,MAYOR,,"LUMANAS, NIÑO",PFP,6380,28861
BOHOL,DAGOHOY,MAYOR,,"APAT, MOLOY",LAKAS,6640,31430
BOHOL,DANAO,MAYOR,,"CEPEDOZA, JOE",LAKAS,9044,30409
BOHOL,DAUIS,MAYOR,,"SUMAYLO, MIRIAM",PFP,21750,27811
BOHOL,DIMIAO,MAYOR,,"ANG, KING",LAKAS,5988,29644
BUKIDNON,BAUNGON,MAYOR,,"JARAULA, LOLOY",BPP,12736,153444
BUKIDNON,CITY OF MALAYBALAY,MAYOR,,"PABILLARAN, WARREN",PFP,93711,154474
BUKIDNON,DAMULOG,MAYOR,,"BURO, MEL",PFP,11273,154217
BUKIDNON,DANGCAGAN,MAYOR,,"DANDASAN, MAKOY",PFP,9313,154734
BUKIDNON,DON CARLOS,MAYOR,,"PIZARRO, ALONA",BPP,22736,157766
BUKIDNON,IMPASUG-ONG,MAYOR,,"UY, ANTHONY",IND,18042,158281
BUKIDNON,KADINGILAN,MAYOR,,"CANOY, JERRY JR.",PFP,19714,156755
BUKIDNON,KALILANGAN,MAYOR,,"GAMBOA, RAYMON CHARL",PFP,19365,157509
BUKIDNON,KIBAWE,MAYOR,,"ANG RABANES, JIMBOY",PFP,17792,155241
BUKIDNON,KITAOTAO,MAYOR,,"ABUCAYAN, ABLE",PFP,21271,153969
BUKIDNON,LANTAPAN,MAYOR,,"BALANSAG, RICKY JAMES",PFP,30479,156012
BUKIDNON,LIBONA,MAYOR,,"WOO, TAWING",IND,16911,158026
BUKIDNON,MALITBOG,MAYOR,,"CASIÑO, GARY",BPP,10464,154986
BUKIDNON,MANOLO FORTICH,MAYOR,,"QUIÑO, ROGELIO",BPP,38698,156260
BUKIDNON,MARAMAG,MAYOR,,"DOROMAL, JOSE JOEL",PFP,43373,155757
BUKIDNON,PANGANTUCAN,MAYOR,,"GARCES, MANOLITO",PFP,13875,157254
BUKIDNON,QUEZON,MAYOR,,"LORENZO, POLING",PFP,51172,156508
BUKIDNON,SAN FERNANDO,MAYOR,,"YEKE, ROGELIO",PFP,22240,153708
BUKIDNON,SUMILAO,MAYOR,,"BAULA, JIM-JIM",BPP,13388,157004
