year,region,province,city,position,candidate_name,party,votes
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","ABDUSSALAM, HADJI AMER",PMP,461
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","MARUHOM, OMAR",IND,436
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","ARABIA, MOHAMMAD",PDSP,424
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","RARACO, FAISAL",PDP,406
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","CARIS, IMAM",LP,402
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","HADJISOCOR, SALAL",IND,381
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","AMPASO, ZAINAL",PDSP,379
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","BORAR, MAMAKI",IND,359
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","GAO, MACMOD",LP,337
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","ARAGASI, SIRAD",LP,320
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","AMPUAN, NADJER",LP,313
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","CABSARAN, MASI",PDSP,256
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","MACORO, SATAR",PDP,240
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","BONGAROS, LAUT",IND,233
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","DATUMULOK, COSARY",PDP,233
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","ELIAS, IMAM",PDP,221
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","GALAWAN, MOHD FAIZ ""MAS""",PDSP,210
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","MIKUNUG, LACSON",IND,209
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","SARIP, CAMALODIN",PDP,190
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","MANGOTARA, JAMAL",PDSP,177
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","MAUNGA, JAMAL",PDSP,170
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","HADJIMALIC, ACMAD",IND,134
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","MACARAMBON, KHALID",PDP,106
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","DATUMULOK, ALICASAN",IND,98
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","ABDULLAH, AL-NAHAR",IND,97
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","AMPASO, HADJIALI",PDSP,89
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","ALIM, AZIS",PDP,72
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","SAMPACO, ABDULHAKIM",IND,54
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","MIKUNUG, HADJI FAIZ",PDP,25
2013,armm,lanao-del-sur,binidayan,"MEMBER, SANGGUNIANG BAYAN","ALI ABDULSALAM D, NOMAIRY",IND,23
2013,armm,lanao-del-sur,buadiposo-buntong,MAYOR,"DADAYAN, HAYANISAH",LP,440
