Year,Position,Last,Given,Sex
2004,MAYOR,FLORENDO,EDGAR,M
2004,VICE MAYOR,REYES,JOHN-JOHN,M
2004,COUNCILOR,IFURONG,KRISTINE,F
2004,COUNCILOR,CABANTAC,ISIDRO,M
2004,COUNCILOR,ONG,MILA,F
2004,COUNCILOR,DARANG,AURELIO,M
2004,COUNCILOR,ESOY,ARSENIO,M
2004,COUNCILOR,BEDAR,CEFERINO,M
2004,COUNCILOR,SUPNET,MARCELO,M
2004,COUNCILOR,DASALLA,ERNESTO,M
2004,MAYOR,MIRANDA,JOSEFINO,M
2004,VICE MAYOR,ELLORIN,JOVITO,M
2004,COUNCILOR,VALDEZ,MELCHOR,M
2004,COUNCILOR,CORPUZ,MARIO,M
2004,COUNCILOR,MIRANDA,JOSELITO,M
2004,COUNCILOR,ELLORIN,GLICERIO,M
2004,COUNCILOR,PASION,ROBERT,M
2004,COUNCILOR,PASION,VIRGILIO,M
2004,COUNCILOR,PALACIO,ERNESTO,M
2004,COUNCILOR,BELARDE,SAMUEL,M
2004,MAYOR,TADENA,FLORO,M
2004,VICE MAYOR,TOBIAS,JESUS,M
2004,COUNCILOR,DE VERA,TOMASITO,M
2004,COUNCILOR,TACBAS,EDWIN,M
2004,COUNCILOR,FIGUERAS,MICHAEL,M
2004,COUNCILOR,INGAN,GODOFREDO,M
2004,COUNCILOR,PALPAL-LATOC,HENRY,M
2004,COUNCILOR,RABANAL,WILLIAM,M
2004,COUNCILOR,TADENA,GLENDA,F
2004,COUNCILOR,TADEJA,EUGENE,M
2004,MAYOR,GAERLAN,TYRONE,M
2004,VICE MAYOR,WANDAS,SIMEON,M
2004,COUNCILOR,DONGLOS,ERNESTO,M
2004,COUNCILOR,CALENG,DANIEL,M
2004,COUNCILOR,ALABAG,MARIETA,F
2004,COUNCILOR,AMBOG,ASUNCION,F
2004,COUNCILOR,GARNACE,JOVITA,F
2004,COUNCILOR,DADPAAS,MAMERTO,M
2004,COUNCILOR,SINGGUIPEN,MOISES,M
2004,COUNCILOR,DILLA,BALTAZAR,M
2004,MAYOR,YABES,EDGAR,M
2004,VICE MAYOR,INES,MARLON,M
2004,COUNCILOR,DAYOAN,ALWIN,M
2004,COUNCILOR,LIVED,RONNEL,M
2004,COUNCILOR,DAYOAN,ROMEL,M
2004,COUNCILOR,YORO,ERNESTO,M
2004,COUNCILOR,ZAPATA,JOSE,M
2004,COUNCILOR,ARRIETA,LETICIA,F
2004,COUNCILOR,AGDEPPA,EMMANUEL,M
2004,COUNCILOR,ANUNCIACION,HENRY,M
2004,MAYOR,QUITON,FERNANDO,M
2004,VICE MAYOR,AMOYEN,GUILLERMO,M
2004,COUNCILOR,YAGYAGEN,MILAGROS,F
2004,COUNCILOR,NABUTIL,LOVETA,F
2004,COUNCILOR,SIBAYAN,JOSEPH,M
2004,COUNCILOR,YUBOS,TEOFILO,M
