year,region,province,city,position,area,candidate_name,party,votes
2010,armm,sulu,old-panamao,MAYOR,SULU - OLD PANAMAO,"ABDURAJAK, GAFOR",LP,5640
2010,armm,sulu,old-panamao,MAYOR,SULU - OLD PANAMAO,"ABDURAJAK, BASSAR",UNA,2605
2010,armm,sulu,old-panamao,MAYOR,SULU - OLD PANAMAO,"ASANJI, ABUNIDAR",IND,88
2010,armm,sulu,old-panamao,VICE-MAYOR,SULU - OLD PANAMAO,"ASANJI, INTIZHAR",LP,5921
2010,armm,sulu,old-panamao,VICE-MAYOR,SULU - OLD PANAMAO,"ARAO, HUSNOLBASAR",UNA,2242
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"HAWARI, MUKTADIR",LP,4810
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"SARAB, HALMIE",LP,4206
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"JAY, AMIL",LP,3751
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"ASANULLA, HATAIE",LP,3687
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"JUMAH, RUAIDA",LP,3301
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"ABDUSALIM, ETI",LP,3148
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"NAJUDAIN, WADZNA",IND,3011
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"AMILKAIDAR, KIMAR",IND,2876
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"AMMAD, ABUHARIS",UNA,2675
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"DAHIM, NURISA",IND,2673
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"ABDURAJAK, SAMPANG",UNA,2431
